comparison	arm	kind	n_base	n_other	pct_scale_increase	n_shared_regions	n_regions_with_zero_hits_a	n_regions_with_zero_hits_b	n_hits_base_on_shared	n_hits_other_on_shared	n_shared_keys	n_dropped	n_gained	n_decision_changes	hit_jaccard	n_regions_with_decision_change	frac_regions_with_decision_change	n_decision_changes_coefficient_ge_1	changed_hit_coefficient_median	changed_hit_coefficient_max	max_abs_coefficient_delta	n_shared_keys_over_device_null	n_regions_num_steps_differs	max_abs_num_steps_delta	n_changed_regions_also_resolved_differently
append:base_6460_vs_ctrl	append	negative_control	6460	6460	0.0	6460	0	0	219203	219203	219203	0	0	0	1.0	0	0.0	0	0.0	0.0	0.10418299999999903	422	3	2	0
append:base_6460_vs_sup_7085	append	scale	6460	7085	9.675	6460	0	0	219203	219203	219203	0	0	0	1.0	0	0.0	0	0.0	0.0	0.10418299999999903	393	2	1	0
append:base_6460_vs_sup_12920	append	scale	6460	12920	100.0	6460	0	0	219203	219203	219203	0	0	0	1.0	0	0.0	0	0.0	0.0	0.012326999999999089	356	0	0	0
sorted:base_6460_vs_ctrl	sorted	negative_control	6460	6460	0.0	6460	0	0	219376	219375	219375	1	0	1	0.9999954416162206	1	0.00015479876160990713	0	8.666786e-06	8.666786e-06	0.27105000000000246	645	5	4	0
sorted:base_6460_vs_sup_7085	sorted	scale	6460	7085	9.675	6460	0	0	219376	219576	218984	392	592	984	0.995526622054117	245	0.037925696594427245	242	0.34850422	35.895145	123.95314300000001	71352	710	392	152
sorted:base_6460_vs_sup_6525	sorted	scale	6460	6525	1.006	6460	0	0	219376	219526	218971	405	555	960	0.9956349946119465	222	0.03436532507739938	228	0.37571982	47.764225	50.0732166	65222	639	392	151
sorted:base_6460_vs_sup_6783	sorted	scale	6460	6783	5.0	6460	0	0	219376	219570	219107	269	463	732	0.9966702905307976	236	0.03653250773993808	210	0.31981486	33.358788	106.090945	66397	651	464	152
append_base_vs_sorted_base	cross	order_only_cross_device	6460	6460	0.0	6460	0	0	219203	219376	218852	351	524	875	0.9960177857068089	302	0.04674922600619195	195	0.18278013	47.764225	123.95314300000001	80231	741	464	185
sorted_base_vs_sorted_base_other_gpu	cross	device_control	6460	6460	0.0	6460	0	0	219376	219375	219375	1	0	1	0.9999954416162206	1	0.00015479876160990713	0	5.6199583e-06	5.6199583e-06	0.27105000000000246	643	7	2	1
append_base_vs_sorted_base_same_gpu	cross	order_only_same_device	6460	6460	0.0	6460	0	0	219203	219375	218851	352	524	876	0.9960132346047595	303	0.04690402476780186	195	0.18278013	47.764225	123.95314300000001	80134	742	464	186
append_base_vs_batch_1000	cross	batch_size_only	6460	6460	0.0	6460	0	0	219203	219790	218718	485	1072	1557	0.9929315628192033	408	0.06315789473684211	354	0.34522682	60.504177	123.95314300000001	119317	1122	497	259
